id,PROHIBE_JORNADA,PROHIBE_CLASES,CONFISCACION,PROHIBE_FOTOS,RESTRINGE_USO,USO_INAPR,PROTOCOLO_USO,PROHIBE_REDES,SIN_REGULACION,PROHIBE_LABORAL
232,1,1,1,0,1,1,0,0,0,0
239,0,0,0,0,0,1,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0
252,0,1,0,0,1,1,0,0,0,0
253,0,1,1,0,1,1,0,1,0,0
254,0,0,0,0,0,1,0,0,0,0
255,0,0,1,1,1,1,1,0,0,0
256,0,0,0,0,0,0,0,0,0,0
270,0,0,0,1,0,0,0,0,0,0
283,0,1,1,1,1,1,1,0,0,0
285,0,0,0,0,0,1,0,1,0,0
286,0,0,1,1,1,0,0,0,0,0
288,1,1,1,1,1,1,1,0,0,0
291,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_291.pdf
292,0,0,1,0,1,1,0,0,0,0
294,0,1,1,1,1,0,1,0,0,0
297,0,0,0,1,0,1,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0
302,0,1,0,1,1,1,0,0,0,0
304,0,0,0,1,1,1,1,0,0,0
306,0,0,0,0,0,1,0,0,0,0
310,0,1,0,0,1,1,1,0,0,0
312,1,1,1,0,1,1,1,0,0,0
315,0,0,0,1,0,0,0,0,0,0
316,0,1,0,0,1,0,0,0,0,0
317,0,0,0,0,1,0,0,0,0,0
319,0,1,1,1,1,1,0,0,0,1
320,0,1,1,0,0,1,0,0,1,1
332,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_332.pdf
336,0,1,1,1,1,1,0,0,0,0
341,0,1,1,0,1,1,0,1,0,0
343,0,1,1,0,1,1,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0
361,0,0,0,1,1,1,1,0,0,0
365,1,1,1,1,1,1,1,1,0,0
373,0,0,1,1,1,0,1,0,0,0
374,0,1,1,1,1,1,1,0,0,0
380,1,1,1,1,1,1,1,0,0,0
381,0,1,1,0,0,0,1,1,0,0
386,0,1,1,1,1,0,1,0,0,0
390,0,0,0,0,0,1,1,0,0,0
392,0,1,0,0,1,1,0,0,0,0
396,0,0,0,1,0,1,1,0,0,0
399,0,1,1,1,1,1,0,1,0,0
400,0,0,1,1,0,1,1,0,0,0
401,0,1,1,1,1,1,1,0,0,1
403,0,0,0,0,0,0,0,0,0,0
405,0,1,1,1,1,1,1,0,0,0
408,0,1,1,1,1,1,1,0,0,0
410,0,0,1,0,1,1,1,0,0,1
411,0,1,1,0,1,1,0,0,0,0
413,0,1,1,0,1,1,1,0,0,0
415,0,1,1,0,1,1,1,0,0,0
417,1,1,1,1,1,0,1,0,0,0
419,0,0,0,1,0,1,0,0,0,1
420,0,1,0,0,1,1,1,1,0,0
421,0,1,0,1,1,1,1,0,0,0
423,1,1,1,0,1,1,0,0,0,0
429,0,0,0,0,0,1,0,0,0,0
430,0,1,1,0,1,1,1,0,0,0
433,0,1,1,0,1,1,0,1,0,0
434,0,0,0,1,1,1,0,0,0,1
437,0,1,1,1,1,1,1,0,0,0
438,0,0,1,0,0,1,0,0,0,0
441,0,1,1,0,1,1,0,0,0,0
442,1,1,1,1,1,1,1,1,0,0
444,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,1,0,0,0,0
453,0,1,1,1,1,1,0,0,0,1
458,1,1,0,0,1,1,0,0,0,0
459,0,1,0,1,0,1,0,0,0,0
461,0,0,0,0,0,1,0,0,0,0
462,0,0,1,0,0,0,0,0,0,0
463,0,1,1,0,1,1,0,0,0,0
478,0,1,1,1,1,1,0,0,0,0
482,0,0,0,0,0,1,0,0,0,0
484,0,1,1,1,0,1,1,0,0,1
486,0,0,0,1,0,0,0,0,0,0
489,0,0,1,0,1,1,0,0,0,0
493,0,1,0,1,1,1,0,0,0,0
499,0,1,0,0,1,1,0,1,0,1
516,0,1,0,1,1,1,1,1,0,1
517,0,1,0,0,1,1,1,0,0,0
518,0,0,0,0,1,1,0,0,0,0
525,0,1,1,0,1,1,1,0,0,0
526,0,1,1,1,1,1,0,1,1,0
527,0,0,0,0,1,1,1,0,0,0
528,0,1,1,1,1,1,1,1,0,0
531,0,1,1,0,1,1,0,0,0,0
534,0,1,1,1,1,1,1,0,0,0
536,0,0,1,0,0,0,0,0,0,0
539,0,0,0,1,0,1,1,0,0,0
542,0,0,0,0,0,1,0,0,0,0
543,0,1,1,1,1,1,0,1,0,1
546,0,1,1,0,1,1,0,0,0,0
548,0,0,1,0,1,1,0,1,0,0
551,0,1,1,1,1,1,1,1,0,0
557,0,1,1,1,1,1,0,0,0,0
560,0,1,1,1,1,1,1,0,0,0
562,0,1,1,0,1,1,0,0,0,0
565,0,1,0,1,1,1,1,1,0,0
566,0,0,1,0,1,0,1,0,0,0
567,0,1,1,0,1,1,0,1,0,0
570,0,1,1,1,1,1,1,0,0,0
573,0,1,1,1,1,1,1,0,0,0
574,0,0,0,1,0,1,0,1,0,0
575,0,1,1,0,1,0,1,0,1,0
578,0,1,1,1,1,1,1,0,0,0
579,0,1,0,1,1,1,0,1,0,0
580,0,1,1,0,1,1,0,0,0,0
587,0,0,0,0,0,1,0,0,0,1
589,0,0,1,0,1,1,0,0,0,0
611,0,1,0,1,1,1,1,0,0,0
612,0,1,1,0,1,1,0,1,0,0
613,0,1,1,0,1,1,0,0,0,0
614,0,1,1,1,1,1,1,1,0,0
615,0,1,0,1,1,1,0,0,0,1
616,1,1,1,0,1,1,1,0,0,0
617,0,0,0,0,1,1,1,0,0,0
621,0,1,1,0,1,1,1,0,0,1
626,0,1,1,0,1,0,0,0,0,1
628,0,1,1,1,1,1,0,0,0,1
629,0,0,0,1,0,1,1,0,0,0
630,0,1,1,0,1,1,1,0,0,1
631,0,0,1,0,0,1,0,0,0,0
632,0,1,1,0,1,1,0,0,0,0
637,0,1,0,1,1,1,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
642,0,1,0,1,1,1,0,0,0,0
643,0,1,1,1,1,0,0,0,0,0
647,0,0,0,1,0,0,0,1,0,0
648,0,0,0,0,0,1,0,0,0,0
649,0,1,1,0,1,1,1,0,0,0
655,0,1,1,0,1,1,0,0,0,0
657,0,1,0,0,1,1,0,0,0,0
658,0,1,1,1,1,1,0,0,0,0
664,0,1,1,0,1,1,0,0,0,1
665,0,1,0,0,1,1,0,0,0,0
669,0,1,0,1,1,1,0,0,0,0
673,0,0,1,0,0,1,0,0,0,0
682,1,1,1,1,1,1,0,1,0,0
686,0,1,1,1,1,1,1,0,0,0
690,0,1,1,0,1,1,1,1,0,0
691,0,1,1,0,1,1,1,0,0,0
694,0,1,1,0,1,1,0,0,0,0
701,0,1,1,0,1,1,1,0,0,1
705,0,1,1,0,1,0,0,0,1,0
707,0,1,1,1,1,1,0,0,0,0
709,0,1,1,0,1,1,1,0,0,0
711,0,1,1,0,1,1,0,0,0,0
715,0,1,1,0,1,1,0,0,0,0
721,0,1,1,1,1,1,1,0,0,1
725,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf,Exception occurred. Please try again: No se pudo dividir en texto el documento ./muestra/ReglamentoConvivencia_725.pdf
729,0,0,0,1,0,1,0,0,0,0
737,0,1,0,0,1,1,0,0,0,1
740,0,1,1,0,1,1,0,0,0,1
743,0,1,0,1,1,0,0,0,0,0
747,0,1,1,1,1,1,0,0,0,0
750,0,0,1,1,1,1,0,0,0,1
753,0,1,1,1,1,1,0,1,0,0
757,0,1,1,0,1,1,1,0,0,0
763,0,1,1,1,1,1,0,0,0,0
767,0,1,1,0,1,1,0,0,0,0
768,0,1,0,1,1,1,0,1,0,0
769,0,0,1,1,1,1,0,1,0,0
770,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_770.pdf is not a valid file or url
772,0,1,0,1,1,1,0,0,0,0
773,0,0,0,1,1,1,0,0,0,0
774,0,1,0,0,1,0,0,1,0,0
793,0,0,0,1,0,0,0,0,0,0
798,0,1,1,0,1,1,0,0,0,0
799,0,0,0,0,0,1,0,0,0,0
800,0,1,1,1,1,1,1,0,0,0
804,0,1,1,0,1,0,0,0,0,1
827,1,1,1,0,1,1,0,1,0,0
845,0,1,0,1,1,1,1,0,0,0
847,1,1,1,1,1,1,1,0,0,0
851,0,1,1,1,1,1,0,0,0,0
852,1,1,0,1,1,0,0,0,0,0
876,0,1,1,1,1,1,0,0,0,0
908,0,1,1,1,1,1,0,0,0,0
915,0,0,1,0,1,0,0,0,0,0
924,0,1,0,0,1,1,0,0,0,1
929,0,0,0,1,0,1,0,0,0,0
947,0,0,0,0,1,1,1,0,0,0
953,1,1,1,1,1,1,0,0,0,0
959,1,1,1,1,1,1,0,1,0,0
967,0,0,0,1,0,0,0,0,0,0
969,0,1,1,0,1,1,1,0,0,1
970,0,1,1,0,1,0,0,0,0,0
971,0,0,0,0,0,1,0,0,0,0
973,0,1,1,1,1,1,1,0,0,0
974,0,1,1,1,1,1,0,0,0,0
976,0,0,0,1,0,1,1,0,0,0
977,1,1,1,1,1,0,0,0,0,0
982,0,1,0,1,0,1,1,0,0,0
990,0,1,1,0,1,1,1,1,0,1
1014,0,0,0,0,0,1,1,1,0,0
1015,0,1,1,1,1,1,1,0,0,0
1016,1,1,0,0,1,1,1,0,1,0
1017,0,0,1,0,1,1,0,0,0,0
1020,0,1,1,0,1,1,0,1,0,0
1022,0,0,0,0,0,1,0,0,0,0
1031,0,1,1,0,1,1,0,1,0,0
1033,0,0,1,1,1,1,1,0,0,1
1036,0,1,1,0,1,1,1,0,1,0
1049,0,0,0,0,0,1,0,0,0,0
1050,0,1,1,1,1,1,0,0,0,0
1051,0,1,1,0,1,1,1,0,0,0
1059,0,0,0,1,0,1,1,0,0,0
1066,0,1,1,0,1,1,1,0,0,0
1077,0,0,0,0,1,0,0,0,0,0
1078,0,0,0,0,0,0,0,0,0,0
1100,0,1,1,0,1,0,1,1,0,0
1121,1,1,1,1,0,1,1,1,0,1
1122,0,1,1,0,1,1,0,1,0,0
1128,0,1,1,1,1,1,1,0,0,0
1132,0,0,0,1,1,1,1,0,0,0
1133,0,0,0,0,0,1,1,0,0,0
1136,0,0,0,0,0,0,0,0,0,0
1142,0,0,1,0,1,1,1,0,0,0
1147,0,1,1,0,1,1,0,0,0,0
1148,0,1,0,1,1,0,0,0,0,0
1152,0,0,0,0,0,0,0,0,0,0
1161,0,0,0,0,1,1,0,0,0,0
1173,1,1,0,0,1,1,0,1,0,1
1174,0,1,1,1,1,1,1,0,0,0
1178,0,1,1,1,1,1,0,0,0,0
1180,0,1,1,1,1,1,1,0,0,1
1184,0,1,0,0,1,1,0,0,0,0
1185,0,1,1,0,1,0,1,0,0,0
1189,0,1,0,1,1,1,0,1,0,0
1190,0,0,0,0,0,0,0,1,0,0
1191,0,1,0,0,1,1,1,1,0,0
1194,0,0,0,0,0,1,0,0,0,0
1195,0,1,1,1,1,1,0,0,0,0
1196,0,1,0,0,1,1,0,1,0,0
1197,0,1,1,1,1,1,0,0,0,0
1199,0,1,0,0,1,1,1,0,0,0
1202,0,1,1,1,1,1,0,0,0,0
1203,0,1,1,1,1,1,1,0,1,0
1204,0,1,0,0,1,0,0,1,0,1
1211,1,1,0,0,1,0,0,0,0,1
1212,0,0,0,0,0,0,0,0,0,0
1213,0,1,0,1,1,1,1,1,0,0
1214,0,0,1,1,0,1,0,0,0,0
1216,0,1,1,1,1,1,0,0,0,0
1218,0,1,0,0,0,0,1,0,0,0
1221,0,0,0,0,0,1,0,0,0,0
1225,0,0,0,1,1,1,1,0,0,0
1226,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1226.pdf is not a valid file or url
1229,0,1,1,1,1,1,0,1,0,0
1234,0,0,0,0,1,0,0,1,0,0
1238,0,1,1,0,1,0,0,0,0,0
1240,0,1,1,0,0,1,1,0,0,0
1249,0,1,1,0,1,1,0,1,0,0
1250,0,1,0,1,1,1,1,0,0,0
1251,0,0,0,0,0,0,0,0,0,0
1255,0,1,1,1,1,1,1,0,0,0
1256,0,1,1,1,1,1,0,1,0,0
1257,0,1,1,1,1,1,0,0,0,0
1258,0,1,1,1,1,0,0,0,0,0
1259,0,0,1,0,0,1,0,0,0,0
1260,0,1,0,1,1,1,0,0,0,0
1263,0,1,1,1,1,1,1,0,0,0
1265,0,0,1,0,1,1,0,0,0,0
1271,1,1,1,0,1,1,1,0,0,0
1273,1,1,0,1,1,1,1,0,0,0
1275,0,1,0,1,1,1,1,0,0,0
1280,0,1,0,1,1,1,1,0,0,0
1281,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1281.pdf is not a valid file or url
1282,1,1,0,0,0,1,1,0,0,0
1288,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url,Exception occurred. Please try again: File path ./muestra/ReglamentoConvivencia_1288.pdf is not a valid file or url
1289,0,1,0,0,1,0,0,1,0,0
1292,1,1,1,1,1,1,1,0,1,0
1294,0,1,1,1,1,1,0,0,0,0
1301,0,1,0,0,1,1,0,0,0,0
1302,0,1,1,1,1,1,1,0,0,0
1311,0,1,0,1,1,1,1,0,0,1
1312,0,0,0,0,0,0,0,0,0,0
1313,0,0,0,0,0,0,0,0,0,0
1318,0,1,0,1,1,1,0,0,0,1
1321,0,1,1,1,1,0,1,0,0,1
1323,0,1,1,1,1,1,1,0,0,0
1326,0,1,1,1,1,1,0,0,0,0
1328,0,1,0,0,1,1,0,0,0,0
1329,0,0,0,1,0,1,0,0,0,0
1331,0,0,0,0,1,0,0,1,0,1
1332,0,0,0,0,0,1,0,0,0,0
1333,0,1,1,1,1,0,0,0,0,0
1336,0,1,1,0,1,1,0,1,0,0
1338,0,0,0,0,0,1,0,0,0,0
1341,0,0,0,0,0,1,0,0,0,0
1342,0,0,1,1,0,0,0,0,0,0
1343,0,1,1,0,1,1,0,0,0,0
1345,0,0,0,1,1,1,0,1,0,0
1346,0,1,1,0,1,1,0,0,0,0
1347,0,1,0,1,0,1,0,0,0,0
1349,0,0,0,0,0,0,0,0,0,0
1350,0,1,1,1,1,1,0,0,0,0
1353,0,0,0,0,0,0,0,0,0,0
1354,0,1,1,1,1,1,1,0,0,0
1355,0,1,1,1,1,1,0,0,0,0
1356,0,1,1,0,1,1,0,1,0,0
1359,0,0,0,0,0,0,0,0,1,0
1360,0,0,0,1,1,1,0,1,0,0
1361,0,0,0,1,1,1,1,1,0,0
1362,0,1,1,0,1,1,0,1,0,0
1363,0,1,0,0,1,1,0,0,0,0
1366,0,0,0,0,0,0,1,0,0,0
1367,0,1,1,1,1,1,1,1,0,0
1368,0,1,1,1,1,1,0,0,0,0
1369,0,1,1,1,1,1,0,0,0,0
1370,0,0,1,0,0,1,1,0,0,0
1371,0,0,0,0,0,1,0,0,0,0
1377,0,1,1,1,1,1,1,0,0,1
1378,0,1,0,0,1,1,0,0,0,0
1385,0,0,0,1,1,0,0,0,0,0
1389,0,1,1,1,1,1,0,0,0,0
1390,0,1,0,0,0,1,1,0,0,1
1392,0,0,0,0,1,1,0,1,0,0
1395,0,1,0,0,1,0,0,0,0,0
1397,0,0,0,0,1,0,0,0,0,0
1403,0,1,1,0,1,0,1,0,0,0
1404,0,1,0,1,1,1,0,0,0,0
1405,0,1,1,1,1,1,0,0,0,0
1412,0,0,0,1,1,1,0,1,0,0
1417,0,0,0,0,1,1,0,0,0,0
1419,0,1,1,1,1,1,0,0,0,0
1421,0,1,1,1,1,1,1,0,0,0
1422,0,1,0,0,1,0,0,0,0,0
1423,0,1,1,0,1,1,0,0,0,0
1424,0,1,1,0,1,1,0,0,0,0
1425,1,0,1,0,1,0,0,0,0,0
1427,0,1,1,0,1,0,0,0,0,1
1430,0,1,0,0,1,1,0,0,0,0
1433,0,1,1,0,1,0,0,1,0,0
1435,0,0,0,0,0,0,0,0,0,0
1436,1,1,1,1,1,1,1,0,0,1
1437,0,1,1,1,1,1,1,0,0,0
1440,0,0,0,1,0,1,0,0,0,0
1442,0,1,1,1,1,1,0,0,0,0
1443,0,1,1,0,1,1,0,0,0,0
1445,0,1,0,0,1,0,0,1,1,0
1450,0,1,1,1,1,1,1,0,0,0
1453,0,1,0,1,1,1,1,0,0,0
1454,0,1,0,0,1,1,0,0,0,0
1455,0,1,1,1,1,0,0,1,0,0
1456,0,1,1,1,1,0,1,0,0,0
1459,0,1,1,0,1,1,1,0,0,0
1464,0,1,1,1,1,1,1,0,0,0
1465,1,0,1,1,1,1,1,0,0,0
1466,0,1,1,1,1,1,0,0,0,0
1467,0,0,1,1,1,1,1,0,0,1
1471,0,1,1,0,1,1,0,0,0,0
1472,0,0,1,1,1,1,1,0,0,0
1475,0,0,0,1,0,1,0,0,0,0
1478,0,1,1,1,1,1,1,0,0,0
1488,0,0,0,0,0,0,0,0,0,0
1489,0,1,1,0,1,1,0,0,0,0
1496,0,1,1,1,1,1,1,0,0,0
1498,0,1,0,0,1,1,0,0,0,0
1500,0,1,1,1,1,1,1,0,0,0
1502,0,1,1,0,1,1,0,0,0,0
1504,0,0,0,0,1,1,0,0,0,0
1506,0,1,1,1,1,1,0,1,0,0
1511,0,1,0,1,1,1,0,0,0,0
1514,1,1,1,0,1,1,1,0,0,1
1516,0,0,1,1,1,1,0,1,0,0
1517,0,1,0,0,1,1,1,0,1,0
1518,0,0,0,0,1,1,0,0,0,0
1519,0,1,1,0,1,0,0,0,0,0
1520,0,1,1,0,1,0,1,0,0,0
1521,0,1,1,0,1,1,1,0,0,0
1522,0,1,0,0,1,0,1,1,1,0
1523,0,1,1,1,1,1,1,0,0,0
1524,0,1,1,0,1,1,0,0,0,0
1525,0,1,1,1,1,1,0,0,0,0
1529,0,0,0,0,0,0,0,0,0,0
1533,0,0,0,1,1,1,0,0,0,0
1534,0,1,1,1,1,1,1,0,0,1
1536,0,1,1,1,1,1,0,0,0,0
1537,0,1,0,0,1,0,0,0,0,0
1541,0,1,1,1,1,1,1,0,0,0
1547,1,1,1,1,1,1,0,0,0,0
1549,0,0,0,0,0,1,0,0,0,0
1550,1,0,1,1,0,1,0,0,1,0
